ID,FullName,Sex,Status,SireID,SireName,DamID,DamName
CTC4665,"U1",,Pet,CTC1054,"Kenai",CTC1088,"DM Fiona"
CTC4666,"U4",,Pet,CTC1054,"Kenai",CTC1088,"DM Fiona"
CTC4667,"U6",,Pet,CTC1054,"Kenai",CTC1088,"DM Fiona"
CTC4668,"U5",,Pet,CTC1054,"Kenai",CTC1088,"DM Fiona"
CTC4669,"U3",,Pet,CTC1054,"Kenai",CTC1088,"DM Fiona"
CTC4670,"U7",,Pet,CTC1054,"Kenai",CTC1088,"DM Fiona"
CTC4671,"U8",,Pet,CTC1054,"Kenai",CTC1088,"DM Fiona"
CTC4672,"U10",,Pet,CTC1054,"Kenai",CTC1088,"DM Fiona"
CTC4673,"U9",,Pet,CTC1054,"Kenai",CTC1088,"DM Fiona"
CTC506,"MM Koda",,Breeder,CTC305,"MM Gameboy",CTC300,"M&M Leila"
CTC507,"MM Maribel",,Breeder,CTC314,"MM Uros",CTC315,"RR Ciaran"
CTC508,"MM Duchess",,Breeder,CTC61,"MMM's Quattro",CTC327,"MM Unica"
CTC510,"MM Neytiri",,Booked,CTC329,"MM Parker",CTC328,"MM Winnie the Blue"
CTC511,"MM Harriet",,Breeder,CTC504,"MM Gryffin",CTC488,"MM Ursula"
CTC512,"MM Indie",,Breeder,CTC56,"NOX Spencer",CTC513,"Arianna"
CTC514,"MF Destiny",,Deceased,CTC330,"MMM's Bucket",CTC184,"MLP Tutu"
CTC516,"MM Kiara",,Breeder,CTC65,"M3 Mottley",CTC331,"Sofia"
CTC517,"MM Remy",,Deceased,CTC61,"MMM's Quattro",CTC68,"Chiara"
CTC521,"MF Simba",,Deceased,CTC340,"MF Curry",CTC129,"MF Bagel"
CTC522,"MM Violet",,Breeder,CTC14,"BF Sami",CTC523,"Allegra"
CTC525,"MM Mirage",,Breeder,CTC14,"BF Sami",CTC523,"Allegra"
CTC53,"MM Gianni",,Breeder,CTC56,"NOX Spencer",CTC57,"MM Chantilly"
CTC556,"MM Hans",,Breeder,CTC53,"MM Gianni",CTC102,"MM Daevy"
CTC559,"MF Jake",,Breeder,CTC340,"MF Curry",CTC129,"MF Bagel"
CTC560,"MF Edna",,Breeder,CTC340,"MF Curry",CTC337,"MF Almond"
CTC561,"MF Baloo",,Breeder,CTC340,"MF Curry",CTC337,"MF Almond"
CTC77,"Azzura",,Booked,CTC531,"Pino",CTC532,"Mother"
